	4	6	8	10	12	14	16	18	20	22	24	26	28	30
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2.11	3.18	4.14	4.86	5.32	5.61	5.80	5.90	5.99	6.03	6.06	6.03	5.99	5.96
40	2.67	3.99	5.07	5.82	6.25	6.50	6.65	6.75	6.85	6.92	6.98	6.99	7.01	7.02
50	3.28	4.79	5.94	6.68	7.01	7.17	7.30	7.40	7.49	7.57	7.64	7.67	7.69	7.72
60	3.55	5.12	6.29	6.96	7.29	7.46	7.59	7.69	7.78	7.87	7.95	7.99	8.02	8.06
70	3.74	5.35	6.52	7.16	7.52	7.73	7.87	7.98	8.09	8.20	8.31	8.36	8.41	8.46
80	3.79	5.41	6.59	7.23	7.63	7.91	8.11	8.25	8.38	8.51	8.64	8.71	8.77	8.84
90	3.86	5.55	6.75	7.30	7.64	7.97	8.26	8.46	8.65	8.81	8.96	9.05	9.14	9.23
100	3.95	5.64	6.82	7.40	7.70	7.91	8.25	8.54	8.82	9.06	9.29	9.42	9.54	9.67
110	3.84	5.51	6.74	7.39	7.80	8.07	8.29	8.53	8.76	9.15	9.54	9.74	9.93	10.13
120	3.59	5.23	6.52	7.29	7.78	8.18	8.50	8.73	8.95	9.23	9.50	9.82	10.13	10.45
130	3.10	4.61	5.92	6.90	7.50	7.97	8.43	8.87	9.30	9.86	10.42	10.75	11.09	11.42
140	2.82	4.22	5.48	6.50	7.20	7.71	8.16	8.60	9.04	9.66	10.28	10.77	11.25	11.74
150	2.54	3.83	5.03	6.09	6.90	7.45	7.89	8.33	8.77	9.46	10.14	10.78	11.41	12.05
160	2.22	3.36	4.46	5.48	6.39	7.07	7.57	8.00	8.42	9.04	9.65	10.27	10.89	11.51
170	2.05	3.09	4.12	5.09	5.99	6.75	7.31	7.73	8.15	8.70	9.24	9.78	10.33	10.87
180	1.92	2.90	3.87	4.80	5.67	6.46	7.06	7.49	7.91	8.40	8.89	9.33	9.78	10.22
